,Weapon,count
0,Splattershot,0.06873753576692967
1,Tentatek Splattershot,0.046085146969565595
2,Tri-Stringer,0.04603095465186855
3,N-ZAP '85,0.04539148530304344
4,E-liter 4K,0.03235281366513483
5,Bloblobber,0.02800658978583196
6,Splattershot Jr.,0.025936443249804906
7,N-ZAP '89,0.022749934969218764
8,Hero Shot Replica,0.01972600364172375
9,Splash-o-matic,0.01852293418884939
10,Splat Roller,0.018089395647273042
11,Custom Splattershot Jr.,0.017590826324460244
12,Tri-Slosher Nouveau,0.017569149397381426
13,Dynamo Roller,0.017092257001647446
14,Hydra Splatling,0.016864649267319863
15,Custom Dualie Squelchers,0.016463626116361745
16,Dapple Dualies Nouveau,0.01619266452787653
17,Neo Splash-o-matic,0.01600841064770658
18,Forge Splattershot Pro,0.015574872106130235
19,Sploosh-o-matic,0.01544481054365733
20,.52 Gal,0.015271395127026792
21,Painbrush,0.015184687418711524
22,Aerospray RG,0.015173848955172115
23,Splatana Stamper,0.01449102575218937
24,Range Blaster,0.0141550333824677
25,Nautilus 47,0.013949102575218936
26,Flingza Roller,0.013894910257521894
27,Ballpoint Splatling,0.013342148617012052
28,Dark Tetra Dualies,0.012746033122344576
29,Inkbrush,0.012410040752622907
30,Jet Squelcher,0.012128240700598283
31,Splatana Wiper,0.011055232810196826
32,Carbon Roller Deco,0.010881817393566287
33,Splat Dualies,0.010339894216595855
34,Squeezer,0.010329055753056447
35,Classic Squiffer,0.010231509581201769
36,Dualie Squelchers,0.010003901846874188
37,Heavy Splatling,0.009440301742824937
38,Explosher,0.009429463279285528
39,REEF-LUX 450,0.009223532472036763
40,E-liter 4K Scope,0.00812884765455649
41,Sloshing Machine,0.00780369374837423
42,Goo Tuber,0.007782016821295413
43,Octobrush,0.007630278331743692
44,Custom Jet Squelcher,0.007586924477586058
45,Annaki Splattershot Nova,0.0074568629151131535
46,Tenta Sorella Brella,0.0073918321338767015
47,Tri-Slosher,0.0073376398161796585
48,Clash Blaster,0.006947455128760947
49,Luna Blaster Neo,0.006893262811063903
50,Splatana Wiper Deco,0.006752362785051591
51,Aerospray MG,0.006470562733026966
52,Heavy Splatling Deco,0.006427208878869332
53,Rapid Blaster Pro Deco,0.00636217809763288
54,Splat Charger,0.006329662707014653
55,S-BLAST '92,0.006210439608081158
56,Rapid Blaster Deco,0.00603702419145062
57,Slosher,0.005993670337292986
58,Glooga Dualies,0.005841931847741264
59,Splattershot Pro,0.005831093384201856
60,Dapple Dualies,0.005755224139425995
61,Blaster,0.0057335472123471775
62,.96 Gal Deco,0.005440908696783144
63,Light Tetra Dualies,0.005234977889534379
64,Krak-On Splat Roller,0.005159108644758519
65,Big Swig Roller Express,0.004768923957339808
66,Clash Blaster Neo,0.004454608514696957
67,Undercover Brella,0.0044437700511575475
68,Z+F Splat Charger,0.0043895777334605045
69,.96 Gal,0.004281193098066418
70,Inkbrush Nouveau,0.004281193098066418
71,Z+F Splatterscope,0.0040861007543570626
72,Splatterscope,0.0038368160929506635
73,Bamboozler 14 Mk I,0.003750108384635394
74,Luna Blaster,0.003316569843059048
75,Big Swig Roller,0.0028938697650221106
76,Neo Sploosh-o-matic,0.002742131275470389
77,Mini Splatling,0.0026771004942339376
78,Tenta Brella,0.002384461978669904
79,Snipewriter 5H,0.002167692707881731
80,Splattershot Nova,0.0021135003901846874
81,Slosher Deco,0.0020376311454088267
82,Rapid Blaster,0.001983438827711784
83,Splat Brella,0.0019400849735541489
84,Zink Mini Splatling,0.0017558310933842019
85,Rapid Blaster Pro,0.0017016387756871585
86,Carbon Roller,0.0015499002861354375
87,L-3 Nozzlenose D,0.0012572617705714037
88,H-3 Nozzlenose D,0.001094684817480274
89,H-3 Nozzlenose,0.0008562386196132836
90,L-3 Nozzlenose,0.0005852770311280673
